epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,threshold
1,0.5360988454071872,0.4433734939759036,1.0294674074113033,0.16885553470919323,0.7000250815149234,0.28892455858747995,0.16885553470919323,1.0,0.5
2,0.485123892304409,0.4718072289156626,1.0064353285318914,0.28330206378986866,0.71690494105844,0.3079710144927536,0.18398268398268397,0.9444444444444444,0.5
3,0.4613612981589444,0.5474698795180722,1.0914179184535207,0.2964352720450281,0.7125407574617506,0.30939226519337015,0.18543046357615894,0.9333333333333333,0.5
4,0.44611580620329067,0.5609638554216867,0.9354422168481193,0.4352720450281426,0.7040882869325307,0.3470715835140998,0.215633423180593,0.8888888888888888,0.5
5,0.4344495349188885,0.6096385542168675,0.9916806770645878,0.4165103189493433,0.7081013293202909,0.34249471458773784,0.21148825065274152,0.9,0.5
6,0.5251239730938372,0.6616867469879518,0.8278396343759927,0.46153846153846156,0.7054176072234762,0.3492063492063492,0.21937321937321938,0.8555555555555555,0.5
7,0.5028078942270164,0.6959036144578313,0.828549068316286,0.4971857410881801,0.7221971407072987,0.3619047619047619,0.23030303030303031,0.8444444444444444,0.5
8,0.476735083338726,0.6886746987951807,0.8383048997587379,0.5140712945590994,0.7284926009530974,0.36049382716049383,0.23174603174603176,0.8111111111111111,0.5
9,0.48907024894852236,0.7204819277108434,0.8003607498548267,0.525328330206379,0.735214446952596,0.37220843672456577,0.23961661341853036,0.8333333333333334,0.5
10,0.4599210598813482,0.7479518072289156,0.738483275078922,0.5872420262664165,0.7382743917732632,0.3989071038251366,0.2644927536231884,0.8111111111111111,0.5
11,0.4596564330681261,0.7479518072289156,0.7023750791853857,0.6153846153846154,0.7219212440431403,0.3952802359882006,0.26907630522088355,0.7444444444444445,0.5
12,0.45231729424143413,0.7580722891566265,0.6988451166627108,0.624765478424015,0.7215450213192875,0.40119760479041916,0.27459016393442626,0.7444444444444445,0.5
13,0.45951087902827437,0.7744578313253012,0.7133236594540093,0.6060037523452158,0.7259342864309004,0.39655172413793105,0.26744186046511625,0.7666666666666667,0.5
14,0.43036271474447596,0.7995180722891566,0.7093582388160377,0.6135084427767354,0.7214948582894406,0.38323353293413176,0.26229508196721313,0.7111111111111111,0.5
15,0.4166648132183466,0.8106024096385542,0.6572154428229771,0.649155722326454,0.7034612490594432,0.38283828382838286,0.27230046948356806,0.6444444444444445,0.5
16,0.41852384389164937,0.8014457831325301,0.6104741646693304,0.6885553470919324,0.7143967895660899,0.40714285714285714,0.3,0.6333333333333333,0.5
17,0.41793197580848834,0.8207228915662651,0.6449841633299278,0.6641651031894934,0.7128918986706798,0.4013377926421405,0.28708133971291866,0.6666666666666666,0.5
18,0.42440568273326,0.8067469879518072,0.6368069983110195,0.6772983114446529,0.7073739653875095,0.4027777777777778,0.29292929292929293,0.6444444444444445,0.5
19,0.42183387789381555,0.8395180722891566,0.6054071681137156,0.7129455909943715,0.7174818159016804,0.4226415094339623,0.32,0.6222222222222222,0.5
20,0.4111397836869021,0.8303614457831325,0.601866895553095,0.7091932457786116,0.7158515174316529,0.41947565543071164,0.3163841807909605,0.6222222222222222,0.5
21,0.4115253156639007,0.8424096385542169,0.6123634787035257,0.7054409005628518,0.6922999749184852,0.40304182509505704,0.3063583815028902,0.5888888888888889,0.5
22,0.3965441590906626,0.8501204819277108,0.6775250328638317,0.6660412757973734,0.7004013042387761,0.39864864864864863,0.28640776699029125,0.6555555555555556,0.5
