train_loss,val_loss,train_acc,val_acc,val_f1,val_auc,val_threshold
0.12727345815282345,0.11387152357575593,0.5087918321043675,0.42964352720450283,0.30275229357798167,0.5589415600702282,0.5199999999999999
0.11788416677960198,0.11469877325347844,0.5343165059557572,0.5778611632270169,0.3323442136498516,0.618359668924003,0.5399999999999999
0.11618069581733938,0.10789308994728897,0.5484968803176404,0.624765478424015,0.35064935064935066,0.6402056684223727,0.5299999999999999
0.1122461046412866,0.10610822894336135,0.5762904140669314,0.6810506566604128,0.34108527131782945,0.6330072736393277,0.5399999999999999
0.10790297745711683,0.11408897809418683,0.6159954622802042,0.7110694183864915,0.3790322580645161,0.6629546024579884,0.57
0.10611251218458907,0.10990752058896965,0.6392512762336926,0.7354596622889306,0.3788546255506608,0.67113117632305,0.57
0.10540477244338729,0.10817489578732854,0.6290414066931367,0.7692307692307693,0.38190954773869346,0.672234762979684,0.58
0.10219090543919777,0.10490076716353254,0.6687464549064095,0.7410881801125704,0.4,0.671933784800602,0.5599999999999999
0.10139023648681657,0.10387222851865958,0.6766874645490641,0.724202626641651,0.4,0.6817908201655379,0.5499999999999999
0.09445789309088574,0.10127125361735109,0.7067498581962564,0.7579737335834896,0.4,0.6757712565838976,0.5599999999999999
0.09688825020381692,0.1017278774482448,0.7090187180941577,0.7673545966228893,0.41509433962264153,0.6903185352395285,0.57
0.09636427626918137,0.10027085664012866,0.7016449234259784,0.7523452157598499,0.4,0.6871582643591673,0.5599999999999999
0.09487337891648455,0.09956380277592514,0.7186613726602382,0.7786116322701688,0.40404040404040403,0.6828693253072486,0.58
0.09083720503276678,0.10367920287442699,0.7402155416903006,0.7429643527204502,0.41702127659574467,0.6857286180085278,0.57
0.09046117996483179,0.09690130690696315,0.742484401588202,0.7673545966228893,0.4205607476635514,0.6858540255831453,0.5599999999999999
0.08402048983630712,0.10041390040690187,0.7646057855927396,0.7542213883677298,0.4177777777777778,0.6776272886882369,0.57
0.083684402354742,0.09606786396557127,0.7770845150311968,0.7936210131332082,0.4148936170212766,0.6861048407323802,0.59
0.08026934849120512,0.09340227259703918,0.7816222348269994,0.7335834896810507,0.4274193548387097,0.6943566591422122,0.5299999999999999
0.07667740646980056,0.0945148708449072,0.8071469086783891,0.7504690431519699,0.41409691629955947,0.6872836719337847,0.5499999999999999
0.07474646831836744,0.0970776077730347,0.8077141236528644,0.7279549718574109,0.41767068273092367,0.6854527213443693,0.5399999999999999
0.07132759964979986,0.10240104389123576,0.8162223482699943,0.7410881801125704,0.42016806722689076,0.6903937797842989,0.57
0.06712188945699671,0.0953212948498538,0.845150311968236,0.7035647279549718,0.41044776119402987,0.6918234261349386,0.5199999999999999
0.06342521164264113,0.09740916297091329,0.8474191718661372,0.7110694183864915,0.3790322580645161,0.6787057938299473,0.5299999999999999
0.06038734176097373,0.09672858164860652,0.8485536018150879,0.7373358348968105,0.38596491228070173,0.6835716077251066,0.5499999999999999
