train_loss,val_loss,train_acc,val_acc,val_f1,val_auc,val_threshold
0.11940839561257116,0.12242361805340586,0.5405558706749858,0.4352720450281426,0.3442265795206972,0.6450714823175319,0.5299999999999999
0.11581609249791164,0.1155181898129143,0.5677821894498015,0.701688555347092,0.3764705882352941,0.6872836719337848,0.58
0.1064448715739641,0.09861993104722665,0.650595575723199,0.7091932457786116,0.41509433962264153,0.7316277903185353,0.5299999999999999
0.08960190519555279,0.08800108623856899,0.7600680657969371,0.7373358348968105,0.4117647058823529,0.7127664910960622,0.4799999999999999
0.07751719614937774,0.09145183385459892,0.8026091888825865,0.7692307692307693,0.4225352112676056,0.7158765989465764,0.4599999999999999
0.07864398407943703,0.09357566952593555,0.8162223482699943,0.7804878048780488,0.4507042253521127,0.7115625783797341,0.48999999999999994
0.06865149491238902,0.09628518701899678,0.8292682926829268,0.7711069418386491,0.4351851851851852,0.7146225232004013,0.5199999999999999
0.07102825118216115,0.09310745849758106,0.8247305728871243,0.7579737335834896,0.4266666666666667,0.7105091547529471,0.4599999999999999
0.0700398560384129,0.09808252263276036,0.8338060124787294,0.7711069418386491,0.4351851851851852,0.707750188111362,0.48999999999999994
0.06737009452796429,0.09449810539957618,0.8394781622234827,0.7804878048780488,0.4292682926829268,0.7163782292450465,0.5399999999999999
0.06907212234699651,0.09354546008977557,0.8428814520703346,0.776735459662289,0.4413145539906103,0.7146476047153247,0.48999999999999994
0.0730296074678478,0.09425765192433214,0.8298355076574021,0.774859287054409,0.4339622641509434,0.7105843992977176,0.49999999999999994
0.06618002172922943,0.09769632754319717,0.8338060124787294,0.7542213883677298,0.4329004329004329,0.7113368447454226,0.48999999999999994
0.07086811376227382,0.0934854796904141,0.8462847419171866,0.7673545966228893,0.43636363636363634,0.7096313017306244,0.4699999999999999
