train_loss,val_loss,train_acc,val_acc,val_f1,val_auc,val_threshold
0.11957115002538558,0.10960701121957396,0.5133295519001702,0.6097560975609756,0.35,0.655129169801856,0.5299999999999999
0.11499822599960198,0.11140954158990513,0.5467952353942144,0.6885553470919324,0.366412213740458,0.673288186606471,0.5499999999999999
0.10825845414917373,0.11067238025101667,0.5955757231990925,0.797373358348968,0.39325842696629215,0.6750188111361927,0.6
0.10261292893374027,0.11397291658407752,0.6647759500850823,0.799249530956848,0.4088397790055249,0.6963631803360925,0.63
0.09292433079980816,0.10346540875774835,0.7010777084515031,0.7842401500938087,0.4444444444444444,0.7120391271632807,0.59
0.08547572087088702,0.10610462563011033,0.7606352807714124,0.7636022514071295,0.42727272727272725,0.7077251065964385,0.59
0.0849653853360253,0.10286812794588744,0.7504254112308565,0.7692307692307693,0.4383561643835616,0.714196137446702,0.58
0.08357297296102792,0.10580630051094417,0.7748156551332955,0.7523452157598499,0.43103448275862066,0.7180336092299975,0.58
0.08279751000531817,0.10237483587989664,0.7748156551332955,0.8161350844277674,0.43023255813953487,0.7134186104840733,0.6399999999999999
0.08322906791234111,0.1022703651247955,0.7623369256948384,0.7617260787992496,0.4304932735426009,0.717557060446451,0.58
0.08191158521499947,0.09912551489377334,0.7765173000567215,0.7560975609756098,0.4298245614035088,0.7203661901178832,0.57
